Conversation_ID,Transcript,Summary;Identificador;Tech;Sales
external: Mm, ah, yes, sorry it, oh, seven four three three zero three.;0;;
internal: Mhm.;0;;
internal: Okay, give me a second.;0;;
external: Sorry.;0;;
internal: Give me a second.;0;;
internal: Oh, yeah.;0;;
external: Can I.;0;;
external: Yeah, sorry, I can't hear really hear.;0;;
internal: No, I.;0;;
internal: Okay. can you hear me now?;0;;
external: Oh, yeah, yeah, yeah, much better, thank you.;0;;
internal: Okay, so the connection is still pending so.;0;;
external: Mhm.;0;;
internal: I'm going to transfer your call.;0;;
internal: Activation team so once they activate your custom, you will get the connection, okay.;0;;
external: Yeah.;0;;
external: Okay, perfect. Thank you so much.;0;;
internal: Okay, stay hold, I'll transfer the call now.;0;;
external: Yeah, thank you.;0;;
internal: Okay, Thank you have a.;0;;
internal: uh.;0;;
internal: Uh.;0;;
internal: Uh.;0;;
internal: Uh.;0;;
internal: Okay.;0;;
internal: Okay.;0;;
internal: Uh.;0;;
internal: Uh.;0;;
internal: Uh.;0;;
internal: I.;0;;
internal: Uh.;0;;
internal: Okay.;0;;
internal: Uh.;0;;
internal: Okay.;0;;
internal: Uh.;0;;
internal: Uh.;0;;
internal: Okay.;0;;
internal: Uh.;0;;
internal: Uh.;0;;
internal: I.;0;;
internal: Uh.;0;;
internal: Okay.;0;;
internal: Uh.;0;;
internal: Okay.;0;;
internal: Uh.;0;;
internal: Uh.;0;;
internal: Okay.;0;;
internal: Uh.;0;;
internal: Uh.;0;;
internal: I.;0;;
internal: Uh.;0;;
internal: Okay.;0;;
internal: Uh.;0;;
internal: Okay.;0;;
internal: Uh.;0;;
internal: Uh.;0;;
internal: Okay.;0;;
internal: Uh.;0;;
internal: Uh.;0;;
internal: I.;0;;
internal: Uh.;0;;
internal: Okay.;0;;
internal: Uh.;0;;
internal: Okay.;0;;
internal: Uh.;0;;
internal: Uh.;0;;
internal: Okay.;0;;
internal: Uh.;0;;
internal: Uh.;0;;
internal: I.;0;;
internal: Uh.;0;;
internal: Okay.;0;;
internal: Uh.;0;;
internal: Okay.;0;;
internal: Uh.;0;;
internal: Uh.;0;;
internal: Okay.;0;;
internal: Uh.;0;;
internal: Uh.;0;;
internal: I.;0;;
internal: Uh.;0;;
external: Okay.;0;;
internal: Okay.;0;;
external: Okay.;0;;
internal: Uh.;0;;
internal: Okay.;0;;
internal: Uh.;0;;
external: Okay.;0;;
internal: Uh.;0;;
"external: Okay."",""Customer intent: The customer called to inquire about activating their M B M box and to seek assistance with their DSL connection.";0;;
Agent actions: The agent asked for the customer's ID to check the connection, and upon receiving it, informed the customer that the connection was still pending. The agent then stated that they would transfer the call to the activation team to resolve the issue.;0;;
"Customer sentiment: The customer seemed satisfied with the agent's help and thanked them for their assistance.""";0;;
"3b4db942-f037-4670-8200-a7ef706e9e82-eeef807d-c8e3-4832-af16-8d2017992d78.transcript.json,""internal: sub sales. How can I help you?";1;;1
external: I'm just wondering if I can cancel my mbn order please.;;;
internal: Yep, no worries. Could I please know your full name and the service address?;;;
external: Got your Bates and Street, Cleveland, four one six three.;;;
internal: Ok. thank you. uh, could you also please verify your email address and date of birth?;;;
external: J H base eleven at gmail dot com and twenty fourth of August nineteen eighty nine.;;;
internal: Ok, thank you.;;;
internal: Alright, Could I please know the reason why you are trying to withdraw the order?;;;
external: I made a mistake in the order.;;;
internal: Okay, no worries.;;;
internal: So sorry will be re signing up with by any chance or.;;;
external: Uh, yes.;;;
internal: Okay, no worries.;;;
internal: Alright, so I've just gone ahead and withdrawn the order and it is now inactive on the system. So if you're happy to rejoin you can simply place an order online or if you like I can assist you over the phone as well.;;;
external: Yeah.;;;
external: I'll do online. thank you.;;;
internal: Sure, sure, no worries, uh.;;;
internal: Okay, so all done anything else I could help you with please?;;;
external: That will be all, Thank you.;;;
internal: Alright then. thanks for calling. you have a great day.;;;
external: You too, bye.;;;
"internal: Right."",""Customer Intent: The customer wants to cancel their mbn order and potentially rejoin later.";;;
Agent Actions: The agent asks for the customer's full name, service address, email address, and date of birth. The agent also asks for the reason for cancelation and then withdraws the order from the system. The agent offers assistance in placing a new order online or over the phone.;;;
"Customer Sentiment: The customer seems satisfied with the agent's assistance and expresses gratitude.""";;;
"3b07740d-a22a-431a-a9e8-83d68ae4d078-2f72c050-cb55-4c01-a96a-0be9c33ab6b1.transcript.json,""internal: Hi, good morning. This is ex technical support. How may I help you today?";1;1;
external: Hello, how are you today?;;;
internal: Yeah, doing great. Thanks for asking.;;;
external: Em, the reason of my call is the Internet connection at my other house so is not working for last one week. I give you the customer number.;;;
internal: Mhm.;;;
internal: Mm, mm.;;;
internal: Uh.;;;
internal: Yes, sure.;;;
external: The number is five zero five three two one, is the customer service number.;;;
internal: Uh.;;;
internal: I just check on it, give me a moment.;;;
internal: Uh, sorry about it. There was a technical difficulty. Can you repeat the customer Id?;;1;
external: Five zero.;;;
internal: Uh.;;;
external: Five three two one.;;;
internal: Uh.;;;
internal: Thank you.;;;
internal: I got your details. Can you confirm me your full name, email address and the service address?;;;
external: The.;;;
external: The bill is under my friend's name and name is E X I A O X I, Lee.;;;
internal: Hmm, okay and the email address.;;;
external: Okay.;;;
external: Our email address, eh.;;;
external: I don't remember, but I know the house address as well is one one zero Kenny Drive, Kenny three zero two three, is the post code?;;;
internal: Uh.;;;
internal: Uh, okay, can you verify?;;;
external: I am also, I am also a authorized person.;;;
internal: Uh, yes, I can see your details as well, yeah, uh, can you also confirm me the date of birth of the account holder?;;;
external: Eh.;;;
external: Is fifteenth of, eh, fifteenth of.;;;
internal: Okay.;;;
internal: Uh, yeah.;;;
external: Nineteen, uh.;;;
external: Fifteenth of February nineteen ninety one, I think.;;;
internal: Yes, yeah, that's correct. Is it possible for you to verify the verification code as well if I send it to your mobile?;;;
external: Uh, okay, send you to my mobile number, not the other mobile number because, uh, the person is not in Australia.;;;
internal: Uh, okay. give me a moment. I'll check whether I can do that.;;;
internal: No.;;;
internal: Hmm, so I'm not able to send the verification code to your mobile number So I need to check this issue with my team as well. can you be on hold for some time I will check and get back to you.;;;
external: Uh, just give me a second.;;;
internal: Mhm.;;;
external: I want to text the person that send me the verified quote, ok.;;;
internal: To the authorised to the account holder.;;;
external: Yeah, I'm sending a message.;;;
internal: Okay, thank you.;;;
external: Can you send the verification code?;;;
internal: Uh, yes, I have sent it to the, uh, registered number.;;;
external: Okay.;;;
external: And can you please also add my mobile number?;;;
internal: Hmm, so give me a moment. I can see that the number has been already.;;;
external: Because I am also authorized person so then what's the point and you don't send me the verification code and send it to the other person then what's the, what is the meaning of the authorization?;;;
internal: Uh, no, so already. your name is name and the contact registered mobile number is here on the record. there is some issue in sending the verification quote, uh, to your mobile number that's the issue, so that's what I wanted to check it with my team.;;;
external: Because my, hello.;;;
internal: Yeah, your details are there already, yeah?;;;
external: Give me a second. give me, give me a second. hmm. You got the verification code.;;;
internal: Thank you.;;;
external: You got the verification code, send send it to me because I am talking.;;;
external: I just send you verification code because my, my mobile number is out of service.;;;
external: Uh, five seven double six eight.;;;
internal: Yes, it is verified, thank you.;;;
external: Yeah, verified, okay.;;;
internal: Yes.;;;
external: My mobile number is out of service. I'm going to change my plan today.;;;
external: My mobile number is out of service. they can't send me so that's why they send it to you. So my mobile number is out of service, my plan yesterday and I is finished like, yeah.;;;
external: My number is not working. Oh, okay. I'm, I'm talking to the other person, I'll take it.;;;
external: Bye.;;;
external: Ok, yeah, sorry, yeah, you got the verification code, yeah.;;;
internal: Yes, I got it, uh, so at the moment, the Internet is not working under this service, right?;;;
external: Yes, that's why I call you, why the Internet is not working. so we already paid the bill so for the last ten days, we didn't have Internet.;;;
internal: Okay.;;;
internal: Okay.;;;
internal: Uh.;;;
internal: Eh, okay.;;;
external: And there is no point to pay for the, the remaining remaining days.;;;
internal: Uh.;;;
internal: Uh, yes, I can understand that I need to do some tests from my end to check on the issue as well. Can you give me some time to do that?;;;
external: Yeah.;;;
internal: Okay. Thanks for waiting. Hmm. Can you hear me, yes sir from the line test. I can see that the connection is online at the moment. There is no any issue. it is not blocked or suspended. It is working fine, but I see some authentication issue that we need to do.;;;
external: No.;;;
internal: Uh, from your end, we need to do some basic troubleshooting from the customer end Is it possible for you to check the connection and do the troubleshooting?;;;
external: I checked a hundred times.;;;
internal: Okay, hmm, no, it looks like some identification issue. it looks like we need to configure the modem.;;;
external: I already text.;;;
external: So what should I do?;;;
internal: Eh, so can you give me the router name that you are using?;;;
external: Sorry what?;;;
internal: The router name, what is the router you are using?;;;
external: What do you mean by that I don't understand.;;;
internal: Uh, there is a Wifi router right, which is connected with an optical box.;;;
external: I don't know because I'm not at that place.;;;
internal: Uh, okay. so we need those information in order to troubleshoot it because, uh, we need to configure the router in order to get the service.;;;
external: Ah, you are making so complicated everything.;;;
internal: Uh.;;;
external: So complicated so complicated I also have this Internet at my place. So I'm sick of this Internet, so maybe I'm gonna change both, I'm gonna remove both connections.;;;
internal: Mhm.;;;
internal: Uh.;;;
external: We always have this issue always have this issue and I'm paying sixty nine dollars seventy dollars every month and sometimes Internet is not working, sometimes is working. so what is the point then I am paying for both hmm service.;;;
internal: Uh, no, no from the test. I can see the services online there. there is some troubleshooting that, yeah.;;;
external: I know the service is online, but the Internet is not working why the modem everything is is okay.;;;
internal: Uh.;;;
internal: No, I can detect that the modem need to be reconfigured from my date happens if you may have mistake re.;;;
external: Why we are doing this every time, why that's my question is why we are doing this every time like at my place. I'm doing the same thing and there. I'm doing the same thing in the other house. So what is the point then I have this service.;;;
internal: Mhm.;;;
external: Another another connection, another provider, they don't have this kind of issues on exit. has this kind of issues.;;;
external: So maybe I need to change both, hmm, both both connection.;;;
external: I'm gonna talk to someone else like another provider.;;;
internal: Uh.;;;
internal: I'm really sorry for the trouble that you are facing but I can help you with this, uh, in configuring the router and get the service for you. uh, because, uh, I don't see any other issue, only the modem needs to be reconfigured.;;;
external: So you mean the modem is to be turned off, yeah.;;;
internal: Uh, no, it's, uh, like we need to log into the modem portal and we need to, uh, give some details over there.;;;
external: So you means I have to plug out all the wires and put it back, right?;;;
internal: Uh, no, no, that's not. what I mean, we need to log into the modem portal. there are some settings that we need to do. I can provide you the instructions.;;;
external: So what do you want like what do you want exactly? what do you want exactly?;;;
internal: The modem name and the modem model number?;;;
external: The modem name, I've got it from exit, so it's like a h t.;;;
internal: Z D E.;;;
external: Yeah, yeah, that one.;;;
internal: Okay, so give me a moment if that is from Exeter, We can do the configuration from our end but sometime you might need to do a factory reset to your modem in order to get the access from our end.;;;
external: H.;;;
external: The modem name is Z T E.;;;
internal: Okay, give me a moment. I'll try to check whether I can get access to your modem.;;;
internal: Bye.;;;
internal: Yes, I have got access to your modem and I can also see that, uh, you have done a reset to your modem which means there is a reset button on the modem. So this issue happens when we mistake press the button on it.;;;
internal: So what I can do is, I can configure the modem from my end for now and you can check the connection from your end, give me one moment.;;;
internal: Okay, the modem has been reconfigured now and I can see the connection is online. you can take it from your end as well.;;;
external: Okay, no problem. I'm not at home so once I get there and I will check it.;;;
internal: Okay, Is there anything that you need to clarify?;;;
external: No, all good. Thank you.;;;
"internal: Ok. thank you. Have a good day, bye."",""Customer Intent: The customer's intent is to resolve an issue with their internet connection at their other house. They provide their customer number and request assistance.";;;
Agent Actions: The agent asks for confirmation of the customer's customer ID and details, including their full name, email address, and service address. The agent encounters technical difficulties and asks the customer to repeat some information. They attempt to send a verification code to the customer's mobile number but are unable to do so. The agent suggests the customer text the account holder for the code. The agent checks the status of the internet connection and suggests troubleshooting steps for the customer to perform. The agent requests information about the router being used and suggests reconfiguring the modem. They provide instructions on how to do so and ensure the internet connection is reestablished.;;1;
"Customer Sentiment: The customer initially seems frustrated and annoyed with the internet connection issue and the difficulties in resolving it. They express their dissatisfaction with paying for a service that doesn't consistently work. However, as the agent assists them in troubleshooting and reconfiguring the modem, the customer's sentiment becomes more neutral. They end the call stating that they will check the internet connection once they are home.""";;;
"b16d89c5-0738-415a-b465-23c76b30ed26-f9b2d5e7-da12-4520-bafb-f8d2fa66a2fc.transcript.json,""internal: your call is important to us. please hold and the next available operator will be with you shortly. Your call is next in line and will be.";1;;
internal: Hello, thanks for calling. This is speaking. How may I help you?;;;
external: Thank you.;;;
external: Hi, hmm. I've just been on the phone, this morning, I trying to get my Wifi connected.;;;
external: Um.;;;
external: Mum's.;;;
external: Basically I'm.;;;
external: Moved into the back studio and hmm, she's now, you know, got a different Wifi than I do. and I can't really get mine to connect and, mm, I, the guy said that I needed to have my Wifi moved to.;;;
external: He said that she needed to move her Wifi from port one to something else. but I've just spoken to mum and she pretty much said that hers has already been moved to number two.;;;
external: Hmm as of today, hmm and wanted to know if I could move mine to three.;;;
external: Support three.;;;
internal: But is yours connected or is it?;;;
external: It is like it's connect the Wifi is not working properly because mm, I need to have it moved to port three or you know on a port where Mums wasn't set up.;;;
internal: Alright, I might have to transfer you to our provision team to check if this is possible in, uh.;;;
internal: You have an active service. Can I transfer your call?;;;
external: Pardon, what was that?;;;
internal: Might have to transfer your call to the provision team to check if it's possible.;;;
internal: Alright.;;;
external: Yeah, not a problem.;;;
internal: Alright, I'm gonna try to now.;;;
internal: good morning. Thank you for calling ex speaking. How may I help you today?;;;
external: Hi, I am just looking to get my Wifi moved to port three today on my Wifi modem and that can start running.;;;
internal: No.;;;
internal: Okay.;;;
internal: Okay, you will be able to provide me a customer service number please. So that I could look into your profile.;;;
external: Not a problem, um, so service number is zero two zero.;;;
internal: Ok.;;;
external: One eight one.;;;
external: Four zero six zero.;;;
internal: Okay. Thank you for that information. I'll have to take you through a quick verification process. Uh, will you be able to provide me your full name please?;;;
external: Tiffany Robertson.;;;
internal: Okay and your date of birth would be?;;;
external: Twentieth of the eighth nineteen ninety seven.;;;
internal: And the connection requested address please?;;;
external: Fourteen Taylor Road, Ab Park.;;;
internal: Okay, thank you for that information. I'll be sending an authentication code via text message, Youll be able to provide me that for the final verification please.;;;
external: Um.;;;
external: Well, I just be texted oh, yeah, so it is one eight seven three six.;;;
internal: Three six, okay. Thank you for that. Uh, yeah. Would you give me give me a minute until I check on your profile and the status of it? It shows that it is currently active. I will have to check it back in for which port number it has been active.;;;
external: What was that sorry?;;;
internal: I'll have to check with a back for which port it has been active, we be able to give me a minute.;;;
external: Yep, not a problem.;;;
internal: Okay, thank you for that.;;;
internal: Oh, yes.;;;
internal: Uh, like during the initial activation, was it requested to be connected to port number, uh.;;;
external: So I want it connected to port three or four if that's available.;;;
internal: Uh, the thing is, we have already proceeded with like the connection is already active with Port number one. Let me check if you could, if there's a possibility like I'll have to contact M B M and check if there's a possibility if you could change the port and get it sorted out for you. Will you be able to give me a couple of minutes, I will get in touch with N B and.;;;
external: Yes please.;;;
internal: You.;;;
external: Yes, please not a problem.;;;
internal: Okay, thank you. Please stay on line.;;;
internal: Uh.;;;
internal: Bye.;;;
internal: Uh.;;;
internal: Uh.;;;
internal: Uh, hello tiny. Thank you for staying on hold.;;;
internal: Yes, I just check with one of an agent like unfortunately, I'm sorry like because the activation is triggered on to port number one. There's no, there's no possibility where we could change it to port number three or four. If we need to do that. We'll have to completely get this order withdrawn and place a new order and then.;;;
internal: Get that connection activated to the requested port.;;;
external: Okay, not a problem. So if it sorry, it's just on Port number one. Can you tell me if any other service providers are connected to port one still I spoke to mum and she said that she had it changed it over she, mm, because when I tried to connect to my Wifi today, mm, they disconnected months.;;;
internal: Yes.;;;
internal: Yeah.;;;
internal: Okay.;;;
external: And so she got a call and mum's in Queensland at the moment and she got a call and mm, she called me and let me know that she's been disconnected but she spoke to them for a while on the phone and they said that they were moving her to port number two. So if I have to say port one.;;;
internal: Ok.;;;
internal: Yes.;;;
external: Does that mean that after she's been moved to port two officially on the system or whatever I will be able to use my Wifi.;;;
internal: Yes, because you have been already connected to port number one and it shows we are using the current line and it shows as well port number two three four three. So if your mom is getting ported to port number two, there won't be any issue for your connection.;;;
external: Okay, not a problem. Are you able to see on your system if that's already been done. Can you see if anyone is on port number one other than me?;;;
internal: Uh.;;;
internal: No, it's only you which is using port number one S for now Port number two three four four three currently.;;;
external: Are currently free.;;;
internal: Yeah, yeah.;;;
external: So is number two taken out.;;;
internal: Uh, no, no, it is three years now.;;;
external: So out of the four ports, what ones are connected to somebody's Wifi?;;;
internal: Okay.;;;
internal: Uh, I am sorry.;;;
external: Out of port one two three and four. What ones are empty vacant?;;;
internal: Uh, two and three weekend, one days been used by you.;;;
external: And what's for being used by?;;;
internal: Uh, four, is it also free two three four. It's all those three are free.;;;
external: Okay.;;;
external: All right, all right, not a problem.;;;
internal: Okay. Is there anything else I could help you out with other than this, uh, Steven?;;;
external: No, I think that'll be it. Thank you. Thank you.;;;
internal: Okay. thank you and just one more thing like when your mom is the service provider to get ported tell her to specifically to mention it to go with port number two because by any chance, if if those people get ported to port number one, your service will be getting disconnected.;;;
external: Not a problem, not a problem, Thank you.;;;
internal: Okay, no worries. and before you go, there would be a quick one question survey to read the service which I just provided to you. shall I pass you through, it will just take time.;;;
external: No worries. Thank you.;;;
internal: Okay. thank you definitely, have a lovely day.;;;
external: You too, have a lovely day.;;;
internal: Okay, thank you. Bye.;;;
"external: Bye."",""Customer Intent: The customer is calling to get their WiFi moved to a different port on their WiFi modem because the current connection is not working properly.";;;
Agent Actions: The agent transfers the customer to the provision team to check if the request is possible. The agent verifies the customer's information and checks their profile. The agent contacts the NBM to check if it's possible to change the port and informs the customer that a new order would need to be placed if they want to change the port.;;;
"Customer Sentiment: The customer is understanding and cooperative throughout the call, stating that it's not a problem and thanking the agent. They ask some clarifying questions but remain calm and polite. They also express gratitude at the end of the call.""";;;
"f715b52b-1a46-4a10-a9b5-a577bcf5cb8d-c2e6725b-1c8e-4217-b625-a23ee14f1ad4.transcript.json,""internal: sales. How can I help you?";1;;1
external: Hi, I'd like to cancel my account.;;;
internal: Yep, no worries sir. I have sent you an Sms with a code. Could you please tell me the code?;;;
external: Yup, it is one one six nine one.;;;
internal: Okay, thank you.;;;
internal: And could you please verify your email address and date of birth?;;;
external: Yeah, hello at label Smith dot com. and my date of birth is twenty fourth of the eighth nineteen eighty.;;;
internal: Yep and the service address please?;;;
external: Three slash sixty two to sixty four Riley Street Dist.;;;
internal: Okay, thank you, hmm and also ma'am. if you're cancelling the service due to price, I can offer you a better deal as a retention offer.;;;
external: No, I'm cancelling the service because Telstra now offers five J Internet in my area.;;;
internal: Okay, no worries. In that case. Would you like me to cancel the services immediately?;;;
external: Um.;;;
external: Not yet. Are you able to cancel in like a few days from now? say like seven seven days from now?;;;
internal: Yep, no worries. Could you please give me an?;;;
external: Well, I.;;;
external: Will, I receive like a partial refund?;;;
internal: Eh, let me check on the invoice one moment.;;;
external: Because I believe that I was just charged for the next month.;;;
internal: Okay, yeah, I do see that the bill due date was on the twenty eighth of August and which we don't do any sort of partial refunds, Uh, but I can cancel the service at the end of the billing cycle and that would be the eleventh of September.;;;
external: Okay.;;;
external: Okay, hmm. so like what does that mean like as been, I've paid for a whole month that you're gonna cancel it like two weeks early.;;;
internal: Oh, no, so your billing cycle is from the twelfth of August to the eleventh of September, uh, so if I as long as I cancel on eleventh of September that should be all good. There won't be any future invoices and, uh, your billing cycle is not from the first to the end of each month, it's from the.;;;
external: Right.;;;
internal: Eleventh to the eleventh, so.;;;
external: Cool, no worries.;;;
internal: Alright, so yep, I've gone ahead and submitted the cancellation and it should be disconnected by the eleventh of September.;;;
external: Okay, cool.;;;
internal: Alright, so all done anything else I could help you with?;;;
external: No, that would be all.;;;
internal: Alright then. thanks so much for calling you have a great day.;;;
external: Thank you very much you too, bye.;;;
"internal: Thanks, bye."",""Customer Intent: The customer wants to cancel their account.";;;
Agent Actions: The agent verifies the customer's identity, offers a retention offer (better deal), confirms the cancellation request, checks for a partial refund, informs about the billing cycle, and submits the cancellation.;;;
"Customer Sentiment: The customer seems determined to cancel their account and is not interested in the retention offer. They inquire about the possibility of a partial refund and express some confusion about the billing cycle, but eventually agrees to the cancellation. Overall, the customer appears satisfied with the agent's assistance.""";;;
"36b03ca2-e56f-4ff3-ba94-9845f38cb264-e7c219d1-0b71-4f91-8b22-c4db21b35e90.transcript.json,""internal: Thank you for calling ex. How can I help you today?";1;;
external: Yeah, hi there. my account is showing as overdue, but it's not.;;;
internal: Okay, yeah, one moment. I can check that for you. just a moment. Could you please give me your full name and the billing address please to verify the account?;;;
external: Yeah, so it's David Gray, It's eighteen Bundle Avenue Grove, three two one six.;;;
internal: Thank you.;;;
external: You'll see, uh, it's showing overdue is three hundred and thirty fifty six, but the last.;;;
internal: Mm.;;;
internal: Yeah, three hundred.;;;
external: The last invoice was minus three hundred and thirty fifty six. so it's been charged incorrectly.;;;
internal: Okay, I'll check on that one moment.;;;
external: Thanks.;;;
internal: Yeah, a credit has already been arranged.;;;
external: Yeah, so it got arranged and then it was, em, then it went through anyway was sent the overdrawn and then got my bank then declined it, so it's showing us but it wasn't due to be charged anyway.;;;
internal: Yeah.;;;
internal: Yeah.;;;
internal: Oh.;;;
internal: Oh.;;;
internal: Okay, E, yeah, yeah.;;;
internal: Okay.;;;
internal: Ah, I'll check on this one moment.;;;
external: And then the other added complication, is that you've also then refunded me but not for hundred and thirty dollars you refunded me two hundred and sixty something dollars.;;;
external: So so in one hand, your account shown as overdue, it's three hundred and thirty, but on the other hand, you've refunded me money anyway, so I.;;;
internal: Okay.;;;
internal: It says a refund of three hundred and thirty dollars and fifty six cents has been.;;;
external: But it wasn't there. it actually came through, no, it was two hundred and sixty five dollars. So you magically changed took another sixty five dollars off that for some reason it's a bit of a mess.;;;
internal: It wasn't.;;;
internal: Uh, okay, so the best thing here, yeah, what I will do is the best thing I'll contact the agent who arrange this first.;;;
internal: So then he will contact you regarding this.;;;
external: Yeah.;;;
internal: One moment.;;;
external: What I'm worried about, is that, eh?;;;
internal: It's a, it's a mess because it, I'm not sure why he arranged a refund when your invoice is due.;;;
external: Well, yeah, what it was, it wasn't, yeah. the payment had already gone through my bank account and it was overdrawn, em, but then so he arranged a refund very kindly. but then my bank subsequently on the Monday, hmm, rejected the payment which is good event because that payment wasn't due anyway because you'd already you already cancelled.;;;
internal: Oh.;;;
internal: Okay, yeah.;;;
external: Invoice, but you obviously haven't cancelled it in the system so hmm, so anyway, hmm the thing I'm really concerned about is cause I need Internet to work and is threatening threatening to cut me off.;;;
internal: Yeah, no, no, no, no, it, it will not be.;;;
external: Yeah.;;;
internal: For sure, you will not be suspended or cut off or anything. nothing will happen. I'll arrange. I'll ask this agent, a hundred percent hundred percent David. Nothing will happen, okay. I'm gonna make a note for the agent now. So he will do it today.;;;
external: Can you be sure of that though because?;;;
external: Okay.;;;
internal: And contact you today by email one moment.;;;
internal: So your service I make a note made a note already not suspended by any means.;;;
external: Yeah, okay, thanks.;;;
internal: Cause this is something it, it's a, it's a mess. I'm not sure why this happened.;;;
external: Yeah, not normal.;;;
external: Yeah.;;;
internal: By.;;;
internal: I've informed the agent as well, so he will check what has happened and contact you and don't worry. your service will not get suspended by any means I've stopped that.;;;
external: Thanks alright. Thank you.;;;
internal: Okay, anything else I'm so sorry for this. I'm not sure why this happened. but I've made a note for the agent as well. So anything else that I can help you today David.;;;
external: Yeah.;;;
external: No, that's fine, thanks.;;;
internal: No worries. And there is a one question sir. you rate Michael really appreciate if you could give me a rating. I'll transfer you to a quick survey of one second. Thank you and have a nice day, bye.;;;
"external: You too, bye."",""Customer intent: The customer is calling because their account is showing as overdue, but they believe it is a mistake and wants assistance in resolving the issue.";;;
Agent actions: The agent verifies the customer's account information, checks the account for any errors, acknowledges the issue, confirms that a credit has already been arranged, investigates the discrepancy in the refund amount, promises to contact the agent who arranged the refund for clarification, assures the customer that their service will not be suspended or cut off, makes a note for the agent to contact the customer, apologizes for the confusion, asks if there is anything else they can assist with, and requests a rating for the agent's service.;;;
"Customer sentiment: The customer is frustrated and concerned about the incorrect charges and refund discrepancy in their account. They need their internet service for work and worry about being cut off. However, they appreciate the agent's assistance in resolving the issue and are satisfied with the assurance that their service will not be suspended.""";;;
"03a49ba8-d42c-4709-a7a6-b2751f614ab3-0f30f8d4-e6ed-4528-952e-464af6277074.transcript.json,""internal: you are speaking to the team Wendy. How can I help you?";1;;
external: Hi, my name is Lisa and.;;;
internal: Yes.;;;
external: Um.;;;
external: I've cancelled my exited service.;;;
internal: Okay.;;;
external: And you do a lot of reasons, they have cancelled my service without any charges but now I can see they have charged another bill of fifty five dollars from my account.;;;
external: I want to ask why.;;;
internal: Okay.;;;
internal: Okay, let me check who has assisted with the cancellation hmm before we go ahead. I have sent a verification code to your mobile. Can you kindly confirm those numbers please?;;;
external: Yes.;;;
external: It's eight five nine three four.;;;
internal: Uh.;;;
internal: I'm sorry, is that six five nine three four.;;;
external: No, it's eight five nine three four.;;;
internal: Okay, thank you for that and your date of birth please?;;;
external: Eighth of December two thousand.;;;
internal: Okay Alicia. Thank you for the details, hmm.;;;
external: Okay, actually there are four payments. No, actually there are three payments of fifty three ninety five.;;;
external: So one is fifty two ninety five. The second one is fifty three ninety five. and the third one is fifty three ninety nine. Oh, my god, yeah, would have never noticed.;;;
internal: Okay, um, I'm just checking on the cancellation date here.;;;
external: Yeah.;;;
internal: So one of your services or the service that I can see is this cancelled on nineteenth of August.;;;
external: Yes and the payment has been cancelled one on twenty second and the other one on twenty fourth.;;;
internal: Okay, let me see so.;;;
internal: Ok, so you have a service at two different addresses, right?;;;
external: Yes, but.;;;
internal: Yeah.;;;
